serial,brand,gender,price,total_sale,seller_reviews,year,volume
639,IWC,Men's watch/Unisex,280500.0,404.0,270.0,2019-01-01,Low Sale
640,IWC,Men's watch/Unisex,2140875.0,3087.0,2339.0,2024-01-01,High Sale
644,Lip,Men's watch/Unisex,106837.5,357.0,311.0,2023-01-01,Low Sale
647,Bulova,Men's watch/Unisex,57750.0,2260.0,1329.0,2020-01-01,Medium Sale
648,Traser,Men's watch/Unisex,47190.0,14626.0,7424.0,2024-01-01,High Sale
650,Van Der Bauwede,Men's watch/Unisex,112200.0,810.0,640.0,2024-01-01,Medium Sale
652,TAG Heuer,Men's watch/Unisex,320512.5,1149.0,812.0,2024-01-01,Medium Sale
671,Pryngeps,Men's watch/Unisex,132825.0,302.0,283.0,1990-01-01,Low Sale
672,Louis Erard,Men's watch/Unisex,255832.5,3108.0,2199.0,2024-01-01,High Sale
673,Milus,Men's watch/Unisex,147097.5,14642.0,448.0,2013-01-01,High Sale
681,Cartier,Men's watch/Unisex,614212.5,2657.0,1784.0,2024-01-01,Medium Sale
688,Montblanc,Men's watch/Unisex,181500.0,467.0,305.0,2020-01-01,Low Sale
694,Fossil,Men's watch/Unisex,8250.0,14642.0,448.0,1970-01-01,High Sale
701,Formex,Men's watch/Unisex,137280.0,3108.0,2199.0,2024-01-01,High Sale
702,Laurent Ferrier,Men's watch/Unisex,3130875.0,3087.0,2339.0,2024-01-01,High Sale
703,Norqain,Men's watch/Unisex,366217.5,5459.0,3305.0,2024-01-01,High Sale
705,Eberhard & Co.,Men's watch/Unisex,243292.5,229.0,200.0,2024-01-01,Low Sale
706,Festina,Men's watch/Unisex,31597.5,2028.0,1396.0,1965-01-01,Medium Sale
713,Montblanc,Men's watch/Unisex,187110.0,2260.0,1329.0,2021-01-01,Medium Sale
714,Sarcar,Men's watch/Unisex,61462.5,14642.0,448.0,1960-01-01,High Sale
715,Vacheron Constantin,Men's watch/Unisex,6843375.0,3087.0,2339.0,2021-01-01,High Sale
716,Universal Genève,Men's watch/Unisex,284295.0,1739.0,1261.0,1990-01-01,Medium Sale
721,Cvstos,Men's watch/Unisex,1417927.5,2436.0,1697.0,2018-01-01,Medium Sale
724,KHS,Men's watch/Unisex,14190.0,1606.0,1187.0,2024-01-01,Medium Sale
726,Breguet,Men's watch/Unisex,1122000.0,1153.0,858.0,2011-01-01,Medium Sale
727,Elgin,Men's watch/Unisex,12787.5,1390.0,860.0,1964-01-01,Medium Sale
732,Mondaine,Men's watch/Unisex,17407.5,5034.0,3907.0,2021-01-01,High Sale
735,Grand Seiko,Men's watch/Unisex,433125.0,3087.0,2339.0,2024-01-01,High Sale
737,Sinn,Men's watch/Unisex,176467.5,722.0,548.0,2023-01-01,Medium Sale
740,Formex,Men's watch/Unisex,159555.0,1072.0,940.0,2024-01-01,Medium Sale
741,Seiko,Men's watch/Unisex,35227.5,3055.0,2010.0,2024-01-01,High Sale
744,Ingersoll,Men's watch/Unisex,30112.5,14626.0,7424.0,2024-01-01,High Sale
752,Omega,Men's watch/Unisex,709087.5,1396.0,950.0,2024-01-01,Medium Sale
755,Parmigiani Fleurier,Men's watch/Unisex,8142750.0,239.0,188.0,2014-01-01,Low Sale
756,Squale,Men's watch/Unisex,135382.5,14925.0,10162.0,2024-01-01,High Sale
757,Diesel,Men's watch/Unisex,18397.5,14642.0,448.0,2021-01-01,High Sale
763,Longines,Men's watch/Unisex,268125.0,225.0,172.0,2024-01-01,Low Sale
766,TAG Heuer,Men's watch/Unisex,437167.5,323.0,222.0,2024-01-01,Low Sale
771,Cyma,Women's watch,27637.5,2998.0,2049.0,2024-01-01,High Sale
772,Bulova,Men's watch/Unisex,33907.5,338.0,258.0,2024-01-01,Low Sale
774,Laco,Men's watch/Unisex,30277.5,428.0,348.0,2024-01-01,Low Sale
776,Girard Perregaux,Men's watch/Unisex,1344337.5,407.0,308.0,2021-01-01,Low Sale
778,Seiko,Men's watch/Unisex,36630.0,733.0,440.0,2024-01-01,Medium Sale
782,Sea-Gull,Men's watch/Unisex,18067.5,2052.0,1355.0,2022-01-01,Medium Sale
787,Panerai,Men's watch/Unisex,655875.0,2439.0,1789.0,2020-01-01,Medium Sale
788,Mühle Glashütte,Men's watch/Unisex,116820.0,816.0,670.0,2023-01-01,Medium Sale
789,Police,Men's watch/Unisex,14190.0,1606.0,1187.0,2024-01-01,Medium Sale
792,Fendi,Men's watch/Unisex,61462.5,14642.0,448.0,2024-01-01,High Sale
794,Victorinox Swiss Army,Men's watch/Unisex,83820.0,8539.0,4710.0,2024-01-01,High Sale
800,Mido,Men's watch/Unisex,97267.5,318.0,162.0,2024-01-01,Low Sale
802,Sector,Men's watch/Unisex,17737.5,14626.0,7424.0,2024-01-01,High Sale
809,Van Der Bauwede,Men's watch/Unisex,55522.5,374.0,268.0,2010-01-01,Low Sale
810,Eberhard & Co.,Men's watch/Unisex,123007.5,421.0,289.0,2000-01-01,Low Sale
822,Tiffany,Women's watch,69300.0,937.0,579.0,2024-01-01,Medium Sale
826,Junghans,Men's watch/Unisex,94957.5,14925.0,10162.0,2024-01-01,High Sale
830,Invicta,Men's watch/Unisex,105352.5,14642.0,448.0,2005-01-01,High Sale
839,Wyler Vetta,Men's watch/Unisex,98010.0,14642.0,448.0,1994-01-01,High Sale
840,TAG Heuer,Women's watch,39187.5,1390.0,860.0,2004-01-01,Medium Sale
